entity,n-revs
drivers/gpu/drm/amd/display/dc/irq/dcn314/irq_service_dcn314.c,17
drivers/interconnect/mediatek/icc-emi.c,17
drivers/net/wireless/ath/ath9k/tx99.c,17
sound/soc/atmel/atmel-pcm-pdc.c,17
drivers/nvmem/meson-efuse.c,17
drivers/net/wireless/intel/iwlwifi/mei/net.c,17
drivers/video/fbdev/omap/sossi.c,17
tools/power/acpi/tools/ec/ec_access.c,17
drivers/gpu/drm/nouveau/nvkm/engine/gr/gk110.c,17
Documentation/userspace-api/media/v4l/pixfmt-sdr-ru12le.rst,17
drivers/gpio/gpio-lp3943.c,17
drivers/iommu/iommufd/io_pagetable.c,17
arch/arm/kernel/head.S,17
sound/pci/cs5535audio/cs5535audio_pm.c,17
drivers/gpu/drm/arm/hdlcd_drv.h,17
fs/xfs/libxfs/xfs_ag_resv.c,17
security/selinux/ss/context.c,17
drivers/vdpa/pds/Makefile,17
include/linux/ceph/msgr.h,17
Documentation/infiniband/opa_vnic.rst,17
drivers/gpu/drm/lima/lima_vm.c,17
drivers/staging/sm750fb/ddk750_swi2c.c,17
drivers/net/ethernet/myricom/myri10ge/myri10ge.c,17
drivers/net/ethernet/netronome/nfp/ccm.c,17
"Documentation/devicetree/bindings/usb/maxim,max3420-udc.yaml",17
net/bluetooth/msft.h,17
drivers/video/fbdev/au1200fb.c,17
include/linux/spmi.h,17
drivers/vfio/pci/vfio_pci_config.c,17
drivers/gpu/drm/amd/display/dc/dpp/dcn401/dcn401_dpp_dscl.c,17
"Documentation/devicetree/bindings/crypto/inside-secure,safexcel.yaml",17
drivers/hid/hid-tmff.c,17
include/sound/alc5623.h,17
sound/soc/codecs/wm2000.c,17
drivers/gpu/drm/qxl/qxl_cmd.c,17
arch/csky/include/asm/vdso.h,17
arch/riscv/boot/dts/thead/th1520-beaglev-ahead.dts,17
arch/arm64/include/asm/mte-def.h,17
scripts/checkdeclares.pl,17
arch/arm/boot/dts/nxp/imx/imx6dl-sabrelite.dts,17
"Documentation/devicetree/bindings/arm/arm,coresight-static-replicator.yaml",17
"Documentation/devicetree/bindings/iio/adc/marvell,berlin2-adc.yaml",17
arch/powerpc/include/asm/cache.h,17
arch/arm/boot/dts/nxp/imx/imx7d-colibri-iris-v2.dts,17
drivers/iommu/iommufd/double_span.h,17
arch/arm/kernel/signal.h,17
include/net/page_pool/types.h,17
"include/dt-bindings/clock/qcom,videocc-sm8250.h",17
